Time,True,Meteo,Imagery,MM
2021-11-02 15:10:00,23.0,4.908996105194092,0.0007665557786822319,18.879535675048828
2021-11-02 15:20:00,11.0,2.365140914916992,0.0002572332741692662,9.762417793273926
2021-11-02 15:30:00,3.0,1.8052335977554321,9.000756108434871e-05,7.004249095916748
2021-11-02 15:40:00,1.0,1.2411829233169556,8.155020623235032e-05,5.203684329986572
2021-11-02 15:50:00,0.0,0.9097669124603271,0.0001304925826843828,4.314596652984619
2021-11-02 16:00:00,0.0,0.5883157849311829,5.9693687944673e-05,3.2668750286102295
2021-11-02 16:10:00,0.0,0.4292858839035034,6.359452527249232e-05,2.8508753776550293
2021-11-02 16:20:00,0.0,0.28127625584602356,0.0004412733542267233,2.86472225189209
2021-11-02 16:30:00,0.0,0.13307622075080872,0.00013280691928230226,1.7103224992752075
2021-11-02 16:40:00,0.0,0.08218565583229065,1.601814801688306e-05,1.2631899118423462
2021-11-02 16:50:00,0.0,0.058331072330474854,2.153154582629213e-06,1.050177812576294
2021-11-02 17:00:00,0.0,0.034684326499700546,2.9185682706156513e-06,0.5463478565216064
2021-11-02 17:10:00,0.0,0.044623106718063354,7.903450750745833e-06,0.4475949704647064
2021-11-02 17:20:00,0.0,0.03203419968485832,0.0009022866724990308,0.5756896138191223
2021-11-02 17:30:00,0.0,0.01276992354542017,5.4586501121521,0.6171958446502686
2021-11-02 17:40:00,0.0,0.0032836939208209515,6.117959976196289,0.49192214012145996
2021-11-02 17:50:00,0.0,0.0006645499961450696,0.3537279963493347,0.2667378783226013
2021-11-02 18:00:00,0.0,0.0005039745010435581,0.0024370341561734676,0.14173062145709991
2021-11-02 18:10:00,0.0,0.0012466877233237028,3.9145834307419136e-05,0.10507886111736298
2021-11-02 18:20:00,0.0,0.0017177771078422666,0.0036986961495131254,0.1129048615694046
2021-11-02 18:30:00,0.0,0.0008785629761405289,0.03356730192899704,0.08738860487937927
2021-11-02 18:40:00,0.0,0.000560490065254271,0.5496686697006226,0.06947833299636841
2021-11-02 18:50:00,0.0,0.0003594410663936287,7.3024983406066895,0.05511745065450668
2021-11-02 19:00:00,0.0,0.29394182562828064,0.5032406449317932,1.0320152044296265
2021-11-02 19:10:00,0.0,35.433902740478516,0.8541715145111084,3.441740036010742
2021-11-03 05:40:00,0.0,33.04108810424805,1.2538355588912964,14.252674102783203
2021-11-03 05:50:00,0.0,14.991629600524902,0.8167941570281982,2.572923421859741
2021-11-03 06:00:00,0.0,20.10713005065918,0.873984158039093,4.668763160705566
2021-11-03 06:10:00,1.0,15.810827255249023,5.922439098358154,3.825576066970825
2021-11-03 06:20:00,3.0,16.054439544677734,18.80620574951172,4.920469284057617
2021-11-03 06:30:00,13.0,17.565757751464844,51.88494873046875,6.047866344451904
2021-11-03 06:40:00,36.0,27.326337814331055,109.7682876586914,13.104586601257324
2021-11-03 06:50:00,60.0,70.00997161865234,116.68541717529297,58.78435516357422
2021-11-03 07:00:00,82.0,85.75108337402344,105.86192321777344,55.42498779296875
2021-11-03 07:10:00,102.0,100.41328430175781,101.67720794677734,80.8041763305664
2021-11-03 07:20:00,120.0,107.81989288330078,146.65673828125,94.79122924804688
2021-11-03 07:30:00,138.0,121.87149810791016,175.3426513671875,104.75606536865234
2021-11-03 07:40:00,158.0,140.00982666015625,200.8893585205078,113.80196380615234
2021-11-03 07:50:00,176.0,155.2643280029297,216.69534301757812,126.2509536743164
2021-11-03 08:00:00,195.0,168.9464569091797,224.05308532714844,138.2819061279297
2021-11-03 08:10:00,216.0,182.82485961914062,248.3548583984375,153.24510192871094
2021-11-03 08:20:00,230.0,197.62124633789062,235.61387634277344,171.51075744628906
2021-11-03 08:30:00,244.00001525878906,205.0142822265625,240.01649475097656,180.6092071533203
2021-11-03 08:40:00,260.0,217.41566467285156,273.2280578613281,195.89566040039062
2021-11-03 08:50:00,278.0,234.49850463867188,254.0674285888672,218.96424865722656
2021-11-03 09:00:00,294.0,246.1048583984375,242.3739776611328,238.64883422851562
2021-11-03 09:10:00,307.0,257.1819152832031,225.3898468017578,260.1563415527344
2021-11-03 09:20:00,319.0,264.3117980957031,255.99122619628906,276.7185974121094
2021-11-03 09:30:00,304.0,273.84832763671875,242.65528869628906,288.52618408203125
2021-11-03 09:40:00,226.00001525878906,257.642822265625,357.5615539550781,264.6891174316406
2021-11-03 09:50:00,178.0,186.0850067138672,299.2088317871094,138.75477600097656
2021-11-03 10:00:00,159.0,168.6307830810547,277.9117126464844,126.0508041381836
2021-11-03 10:10:00,184.0,161.00588989257812,223.67059326171875,120.79084014892578
2021-11-03 10:20:00,277.0,187.8841094970703,198.57919311523438,155.9827880859375
2021-11-03 10:30:00,363.0,244.0149383544922,257.2408142089844,274.2034912109375
2021-11-03 10:40:00,369.0,243.69580078125,361.5369873046875,341.9924011230469
2021-11-03 10:50:00,369.0,220.8817901611328,361.15625,301.5965576171875
2021-11-03 11:00:00,369.0,238.93032836914062,298.3381042480469,320.8795166015625
2021-11-03 11:10:00,367.0,230.89126586914062,220.84567260742188,313.9433288574219
2021-11-03 11:20:00,363.0,221.05703735351562,187.76425170898438,304.58245849609375
2021-11-03 11:30:00,359.0,213.6486358642578,212.8144989013672,297.1939392089844
2021-11-03 11:40:00,349.0,205.0767822265625,158.73171997070312,288.6652526855469
2021-11-03 11:50:00,236.99998474121094,196.34976196289062,258.779052734375,275.2486572265625
2021-11-03 12:00:00,120.99999237060547,128.81044006347656,390.1728820800781,151.95303344726562
2021-11-03 12:10:00,96.0,100.41110229492188,322.8298645019531,92.59396362304688
2021-11-03 12:20:00,72.0,116.14419555664062,320.3592834472656,96.55989074707031
2021-11-03 12:30:00,47.0,96.87806701660156,273.677001953125,80.83443450927734
2021-11-03 12:40:00,25.0,80.19172668457031,281.19183349609375,66.92081451416016
2021-11-03 12:50:00,49.0,65.92740631103516,254.6226043701172,45.21392059326172
2021-11-03 13:00:00,88.0,99.906494140625,232.7471466064453,74.99848175048828
2021-11-03 13:10:00,118.0,125.68707275390625,156.69918823242188,101.44007110595703
2021-11-03 13:20:00,107.0,122.5013656616211,175.48764038085938,114.64772033691406
2021-11-03 13:30:00,84.0,97.72797393798828,178.83807373046875,93.3489990234375
2021-11-03 13:40:00,74.0,99.3527603149414,161.4033660888672,82.04886627197266
2021-11-03 13:50:00,70.0,96.91046905517578,76.28667449951172,79.991943359375
2021-11-03 14:00:00,64.0,88.2776870727539,40.04242706298828,77.55225372314453
2021-11-03 14:10:00,49.0,75.86653900146484,28.847196578979492,67.79093933105469
2021-11-03 14:20:00,43.0,60.118919372558594,40.07908630371094,46.844242095947266
2021-11-03 14:30:00,39.0,58.24576187133789,35.39258575439453,51.85790252685547
2021-11-03 14:40:00,29.0,41.112606048583984,20.884920120239258,43.326534271240234
2021-11-03 14:50:00,23.0,28.86728858947754,0.6162822246551514,27.318931579589844
2021-11-03 15:00:00,16.0,25.075172424316406,2.933588981628418,26.214563369750977
2021-11-03 15:10:00,6.0,13.847522735595703,7.451123237609863,16.035537719726562
2021-11-03 15:20:00,2.0,8.990262985229492,30.37018585205078,6.8062028884887695
2021-11-03 15:30:00,1.0,10.835371017456055,5.710023403167725,6.867811679840088
2021-11-03 15:40:00,0.0,6.851349830627441,3.31241512298584,5.585623264312744
2021-11-03 15:50:00,0.0,4.372774600982666,0.06353001296520233,4.776066780090332
2021-11-03 16:00:00,0.0,2.866119623184204,0.0007482460350729525,5.837976932525635
2021-11-03 16:10:00,0.0,1.0746363401412964,0.007634882349520922,4.441777229309082
2021-11-03 16:20:00,0.0,2.954902410507202,0.1767374873161316,1.3389803171157837
2021-11-03 16:30:00,0.0,0.942479133605957,1.2224169969558716,1.3357518911361694
2021-11-03 16:40:00,0.0,2.1832427978515625,0.24951688945293427,0.6427624225616455
2021-11-03 16:50:00,0.0,0.012842527590692043,0.03586016222834587,0.5168138146400452
2021-11-03 17:00:00,0.0,0.33711978793144226,0.003254649695008993,0.5670570135116577
2021-11-03 17:10:00,0.0,0.14004401862621307,0.0001654677907936275,0.6753276586532593
2021-11-03 17:20:00,0.0,0.09946814179420471,0.00041749406955204904,0.4534413516521454
2021-11-03 17:30:00,0.0,0.09230615198612213,0.0016984203830361366,0.33993521332740784
2021-11-03 17:40:00,0.0,0.07084706425666809,0.013981141149997711,0.2895857095718384
2021-11-03 17:50:00,0.0,0.03341667354106903,0.09271962195634842,0.3153285086154938
2021-11-03 18:00:00,0.0,0.012702476233243942,0.40944740176200867,0.21049737930297852
2021-11-03 18:10:00,0.0,0.008377396501600742,0.23720784485340118,0.15746177732944489
2021-11-03 18:20:00,0.0,0.005323147401213646,0.006632839795202017,0.12047166377305984
2021-11-03 18:30:00,0.0,0.003371941391378641,0.0016286855097860098,0.09519816935062408
2021-11-03 18:40:00,0.0,0.002131569664925337,0.0015699270879849792,0.07727911323308945
2021-11-03 18:50:00,0.0,1.5161813497543335,0.015113896690309048,4.370337963104248
2021-11-03 19:00:00,0.0,25.104467391967773,22.947616577148438,1.7801671028137207
2021-11-04 05:50:00,0.0,27.706384658813477,35.87314224243164,7.65770959854126
2021-11-04 06:00:00,0.0,54.61161422729492,8.669049263000488,29.39734649658203
2021-11-04 06:10:00,1.0,68.24113464355469,6.326663970947266,31.70270538330078
2021-11-04 06:20:00,6.999999523162842,33.54795837402344,24.914091110229492,8.789427757263184
2021-11-04 06:30:00,15.0,49.852516174316406,45.8347282409668,26.971511840820312
2021-11-04 06:40:00,18.0,51.26422882080078,54.109928131103516,27.252595901489258
2021-11-04 06:50:00,16.0,33.918514251708984,71.70508575439453,13.370233535766602
2021-11-04 07:00:00,17.0,26.529632568359375,108.97811889648438,8.490524291992188
2021-11-04 07:10:00,32.0,25.229656219482422,69.09571838378906,8.400765419006348
2021-11-04 07:20:00,24.0,38.84877014160156,65.84542846679688,32.43516159057617
2021-11-04 07:30:00,24.0,24.817529678344727,66.0693359375,7.6545820236206055
2021-11-04 07:40:00,64.0,26.531597137451172,40.003780364990234,9.017526626586914
2021-11-04 07:50:00,91.0,64.9172592163086,30.765567779541016,79.6937255859375
2021-11-04 08:00:00,94.0,73.49952697753906,32.829742431640625,76.64000701904297
2021-11-04 08:10:00,54.0,69.79247283935547,67.82893371582031,63.26968765258789
2021-11-04 08:20:00,74.0,40.15297317504883,77.28163146972656,12.059099197387695
2021-11-04 08:30:00,89.0,67.5735855102539,101.17279815673828,65.09729766845703
2021-11-04 08:40:00,30.0,71.75434112548828,97.4115982055664,68.26460266113281
2021-11-04 08:50:00,21.0,35.43346405029297,121.341796875,7.3125901222229
2021-11-04 09:00:00,38.0,44.35355758666992,162.15679931640625,18.059734344482422
2021-11-04 09:10:00,67.0,50.38043975830078,209.2538604736328,31.471641540527344
2021-11-04 09:20:00,48.0,65.78382873535156,236.77682495117188,56.64976501464844
2021-11-04 09:30:00,27.999998092651367,52.96419143676758,175.9884490966797,24.263938903808594
2021-11-04 09:40:00,62.999996185302734,50.96574783325195,136.84283447265625,22.488845825195312
2021-11-04 09:50:00,198.0,78.89885711669922,70.77434539794922,69.01722717285156
2021-11-04 10:00:00,326.0,193.6499786376953,14.521535873413086,220.78480529785156
2021-11-04 10:10:00,337.0,222.46092224121094,42.23582077026367,313.9285888671875
2021-11-04 10:20:00,310.0,220.70997619628906,79.5692367553711,266.84674072265625
2021-11-04 10:30:00,295.0,256.4012756347656,117.25165557861328,287.05419921875
2021-11-04 10:40:00,338.0,266.334228515625,184.99819946289062,293.0736083984375
2021-11-04 10:50:00,351.0,311.8661193847656,145.70082092285156,370.60137939453125
2021-11-04 11:00:00,324.0,290.1902770996094,80.16446685791016,352.24188232421875
2021-11-04 11:10:00,231.00001525878906,279.54412841796875,39.65339660644531,314.8923645019531
2021-11-04 11:20:00,273.0,222.04531860351562,32.62495040893555,210.53184509277344
2021-11-04 11:30:00,329.0,319.2165222167969,118.17210388183594,329.0904846191406
2021-11-04 11:40:00,283.0,290.2216796875,211.89491271972656,367.59490966796875
2021-11-04 11:50:00,266.0,249.36216735839844,283.9832763671875,256.8476867675781
2021-11-04 12:00:00,273.0,287.2580261230469,206.48069763183594,270.6075439453125
2021-11-04 12:10:00,306.0,283.10009765625,167.80201721191406,280.939453125
2021-11-04 12:20:00,308.0,282.4132385253906,224.62374877929688,319.8086242675781
2021-11-04 12:30:00,297.0,251.92869567871094,148.7289276123047,293.7122497558594
2021-11-04 12:40:00,281.0,252.0528564453125,178.52093505859375,279.9505920410156
